pl_rade,pl_bmasse,st_teff,pl_eqt,st_mass,sy_dist,st_met
10.614923,185.61272,5185.0,1189.0,0.9,134.554,0.27
10.211399,189.10885,5190.0,1170.0,0.925,134.554,0.24
15.02,225.968,6304.0,1630.0,1.242,213.985,0.13
22.19382,216.1244,6001.0,1835.7,1.132,289.205,-0.16
14.616536,588.62116,5620.0,1788.0,1.03,294.419,0.25
15.210613,611.82275,5560.0,1820.2,1.049,294.419,0.26
14.986433,216.1244,5860.0,1691.0,1.271,320.451,0.24
14.348,331.801,5743.0,1428.0,1.178,405.238,0.27
14.359,210.395,5645.0,1361.0,1.048,528.825,0.23
13.922,111.871,5295.0,1108.0,0.942,347.85,0.33
15.984,283.492,6330.0,1652.0,1.259,298.64,0.07
14.392,156.684,6120.0,1458.0,1.284,290.736,0.3
15.838,549.823,6820.0,2131.0,1.543,350.351,0.074
14.437192,429.0705,6280.0,1862.0,1.273,515.458,-0.18
13.50682174,97.57332095,5453.0,1168.2,0.961,440.089,0.302
14.493237,98.20947,5449.0,1192.0,0.976,440.089,0.27
11.309881,259.98494,5131.0,1218.0,0.887,361.155,0.28
14.773462,471.65972,5956.0,1778.0,1.093,666.802,0.0
10.581296,241.5508,4390.0,818.0,0.645,143.651,-0.127
14.84069045,189.42573057,5804.0,1367.0,1.028,511.388,0.003
13.249038,184.97706,5808.0,1313.0,1.013,511.388,-0.03
16.432394,692.8694,6566.0,1840.0,1.296,320.639,-0.077
15.838317,587.9855,7500.0,2200.0,1.47,279.86,-0.25
14.93036229,118.2321674,6078.0,1622.0,1.031,515.59,-0.224
12.58768533,489.45574678,5678.0,1277.8,1.008,265.471,0.217
15.636555,337.85329,6570.0,1704.0,1.295,275.358,-0.13
18.28184752,182.43350562,6212.0,1772.0,1.435,233.22,0.037
10.07687365,335.9446262,5587.0,1505.0,1.004,338.84,0.194
12.02723629,241.86741773,5629.0,1512.0,1.023,348.815,0.414
12.5428494,195.1466419,5400.0,1237.0,0.925,403.458,0.251
19.08889413,184.34047606,6457.0,1766.0,1.298,651.897,-0.113
18.05766791,176.07693748,5872.0,1818.0,1.297,738.519,0.208
21.18501,167.49641,5835.0,1930.0,1.212,738.519,0.1
17.82231,248.86089,6002.0,1896.0,1.255,935.456,0.035
23.370765,108.0622,6406.0,1903.0,1.642,371.686,-0.08
12.016048,230.10892,4508.0,1027.8,0.6785,202.152,-0.059
18.786284,1137.8314,7394.0,1930.0,1.648,341.263,-0.069
15.905571,566.05523,6350.0,2200.0,1.47,341.079,0.26
16.712619,534.59006,6441.0,2700.0,1.47,341.079,0.15
15.043,564.442,6532.23,2733.0,1.347,341.079,0.2326
16.421185,571.77617,6350.0,2194.0,1.511,341.079,0.26
20.96083,2154.8874,8450.0,2562.0,1.89,330.739,-0.059
15.614137,238.05467,6350.0,1540.0,1.281,455.203,0.12
15.46842,247.27174,6350.0,1540.0,1.28,455.203,0.12
10.861521,167.17858,5880.0,1407.0,1.101,534.889,0.15
16.92559,270.1555,6060.0,1637.0,1.0,944.603,-0.39
15.13215,756.4354,6408.0,2097.0,1.489,746.138,-0.1
13.585308,172.58169,5523.0,1244.0,0.962,421.855,0.05
11.646151,340.39593,5346.0,1276.0,0.967,513.011,0.33
12.385945,689.6911,5311.0,1505.0,0.871,1139.55,0.0
14.5717,1039.3041,5738.0,1592.0,0.97,757.044,-0.1
8.709393,425.25654,5846.0,814.0,1.131,400.331,0.3
14.986433,629.3034,5600.0,2060.0,1.037,624.368,0.28
13.092,427.463,5227.0,1577.0,0.882,341.925,0.15
10.682177,870.8542,4803.0,858.0,0.759,229.518,0.0
20.84874,467.2101,5780.0,1654.0,1.121,639.004,0.28
15.636555,718.2958,6125.0,2166.0,1.07,494.182,-0.229
16.667783,775.5052,6346.0,2067.0,1.212,494.182,0.0
14.12334,194.82979,5715.0,1277.0,0.994,471.158,0.02
19.61575,206.5895,6071.0,1918.0,1.299,861.843,-0.02
16.8135,168.4499,6438.0,1659.0,1.415,816.988,0.09
13.383546,213.58176,5498.0,1253.0,0.929,535.383,0.01
14.022459,207.54299,5670.0,1212.0,1.032,353.891,0.16
15.48,340.382,6351.0,1648.0,1.209,411.211,-0.157
13.170575,224.38798,5943.0,1414.0,1.093,342.14,0.06
18.38276,279.6904,6050.0,1823.0,1.275,773.974,0.0
14.000041,292.4036,5700.0,1437.0,1.099,745.116,0.39
13.78707,378.85336,5659.0,1429.0,1.062,248.46,0.29
16.02887,299.07803,5380.0,1445.0,0.955,508.842,0.25
